CustomerID,Gender,SeniorCitizen,Partner,Dependents,TenureMonths,PhoneService,MultipleLines,InternetService,OnlineSecurity,TechSupport,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,SystemLogCode,RandomNoiseScore,Churn
CUST-10885,Male,0,Yes,Yes,24.0,Yes,No,Fiber optic,Yes,Yes,Month-to-month,Yes,Mailed check,109.03,2637.43,SYS_C,48.556286810824474,Yes
CUST-11013,Male,0,No,Yes,72.0,Yes,Yes,DSL,Yes,No,Month-to-month,Yes,Electronic check,60.1,4318.45,SYS_B,44.93748672516626,Yes
CUST-10367,Female,0,Yes,Yes,57.0,Yes,Yes,Fiber optic,No,No,Month-to-month,Yes,Credit card,97.0,5515.92,SYS_A,55.85523123343928,No
CUST-10738,Male,0,No,No,55.0,Yes,No,DSL,No,Yes,Month-to-month,Yes,Bank transfer,62.65,3419.14,SYS_C,54.68727497295956,No
CUST-10807,Female,,No,No,70.0,Yes,No,DSL,No,Yes,Two year,Yes,Electronic check,80.13,5551.17,SYS_A,45.34383442610035,No
CUST-10174,Female,0,Yes,No,22.0,Yes,Yes,No,No internet service,No internet service,Month-to-month,Yes,Bank transfer,21.08,539.53,SYS_C,70.63352586795999,Yes
CUST-10409,Male,0,No,No,21.0,Yes,No,Fiber optic,No,No,Month-to-month,Yes,Credit card,82.07,1675.46,SYS_A,62.158906988689495,Yes
CUST-10585,Male,0,No,Yes,24.0,Yes,No,No,No internet service,No internet service,Month-to-month,Yes,Credit card,21.67,499.74,SYS_C,53.80873579002207,No
CUST-10553,Female,0,No,No,12.0,Yes,Yes,Fiber optic,No,Yes,One year,No,Mailed check,89.65,1070.35,SYS_A,54.53336067136765,No
CUST-10730,M,,No,Yes,22.0,Yes,No,DSL,No,No,Month-to-month,Yes,Bank transfer,58.13,1170.35,SYS_A,58.007301053778534,No
CUST-10380,Male,1,Yes,No,50.0,Yes,Yes,DSL,Yes,No,One year,Yes,Mailed check,55.42,2790.75,SYS_A,50.82692308046084,No
CUST-10774,Female,0,No,No,42.0,No,No phone service,Fiber optic,No,No,Month-to-month,Yes,Credit card,100.42,4202.82,SYS_C,65.37589088937844,No
CUST-10332,Male,1,No,Yes,31.0,Yes,No,DSL,No,No,One year,No,Electronic check,54.75,1719.46,SYS_B,39.37884390581219,No
CUST-10411,Female,1,No,No,23.0,Yes,No,Fiber optic,Yes,Yes,Two year,Yes,Electronic check,99.61,2330.4,SYS_A,69.05758071551594,No
CUST-10025,Female,0,No,No,60.0,Yes,Yes,Fiber optic,No,No,Month-to-month,Yes,Electronic check,,5550.22,SYS_C,63.82514479216351,No
CUST-11121,Female,0,Yes,No,2.0,Yes,No,Fiber optic,No,Yes,Month-to-month,Yes,Electronic check,100.37,225.71,SYS_A,51.11201060077485,Yes
CUST-10044,Male,1,No,Yes,41.0,Yes,No,Fiber optic,No,Yes,Two year,Yes,Electronic check,94.26,3870.78,SYS_A,45.775942948492656,No
CUST-11014,Female,0,No,No,51.0,Yes,Yes,Fiber optic,No,No,Month-to-month,No,Electronic check,85.22,4442.87,SYS_A,59.270771942572594,No
CUST-10581,Female,0,Yes,No,11.0,Yes,Yes,DSL,Yes,No,Two year,No,Electronic check,, ,SYS_C,69.10010828077463,No
CUST-11023,Female,0,Yes,Yes,11.0,Yes,No,No,No internet service,No internet service,Month-to-month,No,Mailed check,24.26,327.63,SYS_B,33.49663430478712,No
CUST-10621,Male,0,No,No,48.0,Yes,Yes,DSL,No,No,Two year,No,Credit card,72.36,3390.38,SYS_B,40.00442888442947,No
CUST-10514,Male,0,Yes,No,29.0,Yes,Yes,DSL,Yes,No,Month-to-month,No,Bank transfer,62.31,1839.49,SYS_A,63.80860558224978,No
CUST-10158,Male,0,Yes,No,26.0,Yes,Yes,Fiber optic,No,No,Month-to-month,No,Bank transfer,75.4,1928.03,SYS_A,39.550854737116346,No
CUST-11009,Male,0,No,No,6.0,Yes,No,DSL,No,No,Month-to-month,No,Credit card,47.82,243.3,SYS_C,35.37173309573,Yes
CUST-10076,Female,0,No,No,43.0,Yes,Yes,Fiber optic,No,Yes,Month-to-month,Yes,Bank transfer,117.84,5053.47,SYS_C,46.632767683048584,Yes
CUST-10695,Female,0,Yes,No,58.0,Yes,No,Fiber optic,No,Yes,Two year,Yes,Bank transfer,99.67,5826.83,SYS_A,75.47829809100831,No
CUST-10070,Female,1,No,No,29.0,No,No phone service,Fiber optic,No,No,Two year,Yes,Bank transfer,95.23,2803.34,SYS_B,74.24961768483342,No
CUST-10075,Female,0,Yes,No,32.0,No,No phone service,DSL,No,No,Month-to-month,Yes,Mailed check,59.16,1920.14,SYS_B,54.158904415492444,No
CUST-10837,Male,0,No,Yes,3.0,Yes,No,DSL,Yes,Yes,Two year,No,Credit card,65.87,269.1,SYS_B,57.44601495468043,No
CUST-10168,Male,0,No,No,66.0,Yes,Yes,DSL,Yes,No,Two year,Yes,Electronic check,80.5,5273.98,SYS_C,48.417127590108656,No
CUST-10286,Male,1,No,Yes,46.0,Yes,No,No,No internet service,No internet service,One year,Yes,Bank transfer,22.06,1030.99,SYS_A,57.6725449869844,Yes
CUST-10527,Male,0,No,No,28.0,Yes,No,DSL,No,No,Two year,No,Credit card,53.6,1450.25,SYS_C,55.383807633089646,No
CUST-10892,Female,0,No,No,11.0,Yes,Yes,Fiber optic,No,Yes,One year,No,Credit card,110.95,1202.45,SYS_C,63.885149534161435,Yes
CUST-10723,Female,0,Yes,Yes,12.0,Yes,Yes,Fiber optic,Yes,No,One year,Yes,Bank transfer,105.49,1320.09,SYS_A,44.13425411031361,No
CUST-10714,Male,0,Yes,Yes,62.0,Yes,Yes,DSL,No,Yes,Two year,No,Credit card,71.55,4344.0,SYS_A,49.045638997214695,No
CUST-10023,Male,0,No,Yes,28.0,Yes,No,DSL,Yes,Yes,Two year,Yes,Electronic check,83.98,2496.59,SYS_A,52.72288245119971,No
CUST-10570,Female,0,Yes,Yes,40.0,Yes,Yes,DSL,Yes,Yes,Two year,No,Mailed check,60.32, ,SYS_A,62.34871252568777,No
CUST-10435,Female,0,Yes,No,16.0,No,No phone service,DSL,No,No,Two year,No,Credit card,83.68,1300.24,SYS_C,59.435569759372555,No
CUST-10123,Male,1,Yes,No,9.0,No,No phone service,DSL,No,No,Month-to-month,Yes,Bank transfer,76.14,660.49,SYS_B,30.65724921048638,No
CUST-10043,Female,0,No,Yes,50.0,Yes,Yes,Fiber optic,No,No,One year,Yes,Mailed check,108.83,5387.55,SYS_B,45.204903388108,No
CUST-10058,Male,0,No,No,2.0,Yes,No,Fiber optic,No,Yes,Month-to-month,No,Electronic check,88.75,179.14,SYS_C,62.4468622116038,No
CUST-10323,Male,0,No,No,3.0,Yes,No,DSL,Yes,No,Month-to-month,Yes,Credit card,70.38,269.01,SYS_C,24.645214611841986,Yes
CUST-10549,Female,0,Yes,No,43.0,Yes,No,DSL,No,No,Month-to-month,Yes,Electronic check,75.01,3201.74,SYS_A,70.84802307016992,No
CUST-10382,Female,0,Yes,No,39.0,Yes,Yes,DSL,No,No,One year,Yes,Mailed check,59.99,2318.8,SYS_C,43.06707225105565,No
CUST-11065,Female,0,Yes,No,38.0,Yes,No,DSL,No,Yes,Month-to-month,No,Bank transfer,67.83,2464.76,SYS_B,62.870873383189455,Yes
CUST-10376,F,1,Yes,Yes,31.0,Yes,No,Fiber optic,No,No,Two year,Yes,Bank transfer,98.01,2931.72,SYS_C,67.28805515495489,No
CUST-11006,Female,0,No,Yes,37.0,Yes,Yes,Fiber optic,Yes,No,Month-to-month,Yes,Electronic check,83.5,3129.93,SYS_B,52.429825154843144,No
CUST-10428,,0,Yes,No,17.0,Yes,No,DSL,No,No,One year,No,Electronic check,81.01,1408.87,SYS_C,57.14869094820897,Yes
CUST-10617,Male,0,Yes,No,34.0,Yes,No,Fiber optic,No,No,Month-to-month,No,Mailed check,100.79,3351.33,SYS_B,48.77115387730165,Yes
CUST-10218,Female,0,No,No,33.0,Yes,Yes,DSL,No,Yes,One year,No,Electronic check,75.59,2509.49,SYS_C,31.51531210965952,No
CUST-10344,Male,0,Yes,Yes,58.0,Yes,Yes,DSL,Yes,No,Two year,Yes,Electronic check,54.38,3025.95,SYS_B,67.32299820621154,No
CUST-10113,Female,0,Yes,No,45.0,Yes,No,No,No internet service,No internet service,Month-to-month,No,Electronic check,24.16,1111.0,SYS_A,38.42518109192082,No
CUST-11156,Male,0,No,No,24.0,Yes,Yes,DSL,No,No,Two year,No,Electronic check,72.96,1744.6,SYS_C,29.7452328525271,No
CUST-10991,Female,0,No,Yes,12.0,Yes,Yes,DSL,No,No,Month-to-month,Yes,Electronic check,72.87,899.76,SYS_C,64.75318688611345,Yes
CUST-10051,Female,0,Yes,Yes,39.0,Yes,No,DSL,No,No,Two year,Yes,Credit card,79.62,3142.21,SYS_C,51.69488651476963,No
CUST-10481,Female,1,No,Yes,32.0,Yes,No,DSL,Yes,No,Month-to-month,Yes,Bank transfer,51.78,1698.19,SYS_A,41.90105649666101,Yes
CUST-10846,Male,0,Yes,No,45.0,Yes,No,Fiber optic,No,No,One year,Yes,Credit card,71.5,3184.21,SYS_A,47.75320674319847,Yes
CUST-10893,male,0,No,No,12.0,Yes,Yes,DSL,Yes,Yes,One year,Yes,Credit card,65.84,784.02,SYS_B,28.089944262230137,No
CUST-10494,Male,0,No,No,31.0,Yes,No,DSL,Yes,No,Month-to-month,No,Mailed check,52.17,1500.54,SYS_C,64.39594490415901,Yes
CUST-10759,Female,0,No,No,54.0,Yes,Yes,DSL,No,No,Two year,Yes,Mailed check,65.67,3610.84,SYS_A,35.40044162460834,No
CUST-11081,Male,0,Yes,No,30.0,Yes,Yes,Fiber optic,No,No,Month-to-month,Yes,Bank transfer,112.95,3319.4,SYS_A,23.30389233255709,No
CUST-10422,Male,0,Yes,No,33.0,Yes,Yes,DSL,No,No,Month-to-month,Yes,Electronic check,63.15,2098.82,SYS_A,35.07790859585321,No
CUST-10922,Female,0,No,No,8.0,Yes,Yes,DSL,No,Yes,Two year,Yes,Electronic check,59.23,525.09,SYS_C,54.48132919361343,No
CUST-10054,,0,Yes,No,17.0,No,No phone service,DSL,No,No,Two year,No,Mailed check,66.92,1206.87,SYS_B,37.91208567119863,No
CUST-10741,Male,1,No,No,44.0,Yes,No,DSL,Yes,No,Month-to-month,No,Mailed check,69.83,3084.33,SYS_C,82.62256560594771,Yes
CUST-11112,Male,0,Yes,No,47.0,Yes,No,DSL,Yes,Yes,Month-to-month,No,Bank transfer,57.02,2696.63,SYS_B,36.27375510721474,No
CUST-10825,Female,0,Yes,Yes,33.0,Yes,Yes,DSL,Yes,Yes,One year,Yes,Bank transfer,62.56,2058.17,SYS_B,61.63846323487198,No
CUST-10056,Male,0,Yes,Yes,31.0,Yes,No,Fiber optic,No,No,Month-to-month,Yes,Bank transfer,108.87,3278.54,SYS_C,62.238589834767254,No
CUST-10086,Female,0,Yes,No,29.0,Yes,Yes,DSL,No,Yes,Month-to-month,Yes,Mailed check,53.13,1512.71,SYS_C,33.897334296550625,No
CUST-10485,Female,0,Yes,No,9.0,Yes,No,Fiber optic,No,No,Month-to-month,No,Electronic check,93.11,846.12,SYS_C,35.188340988952454,Yes
CUST-10265,Female,0,Yes,No,64.0,Yes,Yes,Fiber optic,No,No,Month-to-month,No,Electronic check,88.73,5705.39,SYS_C,72.13714468154501,Yes
CUST-10597,Male,0,No,No,57.0,Yes,Yes,Fiber optic,No,No,Month-to-month,Yes,Credit card,72.31,4162.53,SYS_A,71.05070799115482,Yes
CUST-11172,Female,0,Yes,No,15.0,Yes,No,DSL,Yes,No,Month-to-month,Yes,Electronic check,69.45,991.71,SYS_A,58.79838970093772,Yes
CUST-10184,,0,Yes,No,72.0,Yes,No,DSL,No,Yes,Two year,Yes,Bank transfer,78.37,5680.34,SYS_C,78.18023719757537,No
CUST-10420,Female,1,Yes,No,23.0,Yes,No,Fiber optic,No,Yes,Month-to-month,Yes,Mailed check,108.19,2516.29,SYS_A,48.01940470276641,No
CUST-11004,Female,0,No,No,27.0,Yes,Yes,Fiber optic,No,No,Month-to-month,Yes,Mailed check,70.36,1880.47,SYS_C,86.44634038705468,No
CUST-10634,Male,0,Yes,No,33.0,Yes,No,Fiber optic,No,No,One year,Yes,Bank transfer,86.12,2871.57,SYS_C,25.174746588916186,No
CUST-10294,,0,Yes,No,64.0,Yes,No,No,No internet service,No internet service,One year,Yes,Mailed check,19.2,1116.24,SYS_A,38.54790315664562,No
CUST-10754,Male,0,Yes,No,,Yes,Yes,Fiber optic,No,No,Two year,No,Credit card,114.02,2633.91,SYS_A,53.86646830112828,No
CUST-10198,Female,0,No,No,23.0,Yes,Yes,DSL,No,No,Month-to-month,No,Bank transfer,51.3,1213.82,SYS_B,57.15997184634787,Yes
CUST-10362,Male,0,No,No,13.0,Yes,Yes,DSL,No,No,Month-to-month,Yes,Mailed check,74.88,1076.16,SYS_C,50.52293264167183,No
CUST-10626,Male,,Yes,No,25.0,Yes,No,DSL,No,No,Two year,No,Electronic check,84.95,2086.06,SYS_C,63.86146911449342,No
CUST-11032,Male,0,No,Yes,33.0,Yes,Yes,Fiber optic,No,Yes,Month-to-month,No,Bank transfer,,2482.55,SYS_C,54.17861039657234,No
CUST-10247,Female,0,Yes,Yes,71.0,Yes,Yes,No,No internet service,No internet service,One year,Yes,Mailed check,18.59,1265.82,SYS_B,68.59599961967933,No
CUST-11196,Female,1,No,Yes,14.0,Yes,No,Fiber optic,No,Yes,Month-to-month,Yes,Credit card,85.0,1183.27,SYS_A,55.75625788397288,No
CUST-10707,Female,1,No,No,11.0,Yes,No,DSL,No,No,One year,No,Mailed check,,756.89,SYS_A,57.610653241451324,Yes
CUST-10453,Female,0,Yes,No,66.0,Yes,No,DSL,Yes,Yes,Month-to-month,Yes,Electronic check,57.02,3734.36,SYS_A,13.646257807531576,No
CUST-10361,Female,0,Yes,Yes,5.0,Yes,Yes,Fiber optic,Yes,No,Month-to-month,Yes,Bank transfer,106.08,506.7,SYS_B,55.86082063884652,Yes
CUST-10850,Male,0,No,No,49.0,Yes,Yes,DSL,No,Yes,Month-to-month,No,Mailed check,46.16,2227.82,SYS_B,61.962261726982504,No
CUST-10582,Female,0,No,Yes,35.0,Yes,Yes,Fiber optic,Yes,No,Month-to-month,Yes,Electronic check,94.47,3346.37,SYS_B,49.55045863895735,Yes
CUST-11031,Female,0,Yes,No,31.0,Yes,No,Fiber optic,No,No,Month-to-month,No,Bank transfer,99.25,2995.57,SYS_B,53.998750031426276,No
CUST-10869,Female,1,No,No,72.0,Yes,No,DSL,No,Yes,One year,No,Electronic check,80.88,5798.48,SYS_C,54.723651977478504,Yes
CUST-10746,Male,0,Yes,No,28.0,Yes,Yes,Fiber optic,Yes,No,One year,Yes,Bank transfer,72.29,1985.95,SYS_A,46.76444033407084,Yes
CUST-10107,Female,0,No,No,37.0,Yes,No,Fiber optic,No,No,Month-to-month,Yes,Credit card,100.98,3814.04,SYS_A,52.74514925560981,No
CUST-10199,Female,0,No,No,7.0,Yes,Yes,DSL,Yes,No,Two year,No,Electronic check,79.25,565.06,SYS_C,65.46974092900237,No
CUST-11144,Male,0,Yes,Yes,1.0,Yes,No,No,No internet service,No internet service,Two year,No,Credit card,22.02,22.02,SYS_A,50.209821738315696,No
CUST-10358,Female,0,Yes,No,67.0,Yes,No,Fiber optic,No,Yes,One year,No,Credit card,88.41,5923.01,SYS_B,47.794331593401616,No
CUST-10471,,0,No,No,59.0,Yes,No,No,No internet service,No internet service,Two year,No,Electronic check,18.15,1019.07,SYS_C,72.41504931341728,No
CUST-10277,Female,0,No,Yes,41.0,Yes,No,DSL,No,No,Month-to-month,Yes,Electronic check,45.81,1898.72,SYS_B,40.45073568583831,Yes
CUST-10543,Female,1,No,No,,Yes,No,DSL,No,No,Month-to-month,No,Electronic check,67.18,686.52,SYS_A,59.86453497086619,Yes
CUST-10731,Female,0,Yes,No,56.0,Yes,Yes,Fiber optic,No,No,Month-to-month,No,Credit card,93.68,5198.31,SYS_A,69.50995050148406,No
CUST-10081,Female,0,No,No,33.0,Yes,Yes,Fiber optic,No,No,Two year,No,Electronic check,75.83,2466.76,SYS_B,35.37266080695416,Yes
CUST-10430,Male,0,No,Yes,70.0,No,No phone service,DSL,No,No,One year,No,Mailed check,71.08,4884.83,SYS_A,40.57386404056739,No
CUST-11030,Male,0,No,Yes,52.0,Yes,No,Fiber optic,No,Yes,Month-to-month,No,Electronic check,108.25,5634.51,SYS_A,70.00942088433999,Yes
CUST-11153,Female,1,Yes,No,30.0,Yes,No,DSL,No,Yes,Month-to-month,Yes,Mailed check,84.53,2470.89,SYS_B,60.96439049470315,Yes
CUST-10992,Male,0,No,No,28.0,Yes,Yes,Fiber optic,No,No,One year,No,Credit card,114.99,3228.86,SYS_A,33.38808829475343,No
CUST-10950,Female,0,No,Yes,67.0,No,No phone service,DSL,Yes,Yes,Month-to-month,No,Bank transfer,57.6,3798.12,SYS_B,46.679777474169825,Yes
CUST-11080,Female,0,No,Yes,1.0,Yes,Yes,DSL,Yes,Yes,Month-to-month,No,Credit card,71.95,76.2,SYS_C,51.31289524767529,No
CUST-10728,Male,0,No,No,52.0,Yes,Yes,Fiber optic,No,Yes,Month-to-month,Yes,Electronic check,93.1,4939.5,SYS_A,39.827614354294695,No
CUST-10266,Female,0,No,No,19.0,Yes,Yes,DSL,Yes,Yes,Month-to-month,Yes,Mailed check,71.9, ,SYS_C,52.28290669701627,No
CUST-10147,Female,0,Yes,No,44.0,Yes,No,Fiber optic,No,No,One year,Yes,Electronic check,113.61,4963.18,SYS_C,65.00151345808372,Yes
CUST-10777,Female,1,No,Yes,23.0,Yes,No,Fiber optic,No,No,Two year,No,Credit card,94.92,2136.6,SYS_C,64.28480603496229,Yes
CUST-10210,Female,0,No,No,28.0,Yes,No,Fiber optic,No,Yes,One year,Yes,Bank transfer,72.2,2024.57,SYS_B,70.64009729545782,No
CUST-10609,Female,0,No,No,67.0,Yes,No,Fiber optic,No,Yes,Two year,Yes,Electronic check,88.24,5944.04,SYS_B,63.83872945191746,No
CUST-10909,Male,0,Yes,No,15.0,Yes,No,Fiber optic,No,Yes,Month-to-month,No,Electronic check,99.34,1468.7,SYS_B,57.89354002778,No
CUST-10528,Male,1,Yes,No,39.0,Yes,No,DSL,No,No,Two year,Yes,Electronic check,49.66,2006.89,SYS_A,59.94827631110652,No
CUST-10390,Female,1,No,No,36.0,Yes,Yes,DSL,No,Yes,One year,Yes,Electronic check,75.25, ,SYS_C,60.26453876207701,No
CUST-11111,Male,1,No,No,14.0,Yes,No,Fiber optic,Yes,Yes,Month-to-month,No,Credit card,116.19,1609.59,SYS_B,42.1356663345307,Yes
CUST-10427,Female,0,No,No,54.0,Yes,Yes,DSL,Yes,Yes,Month-to-month,Yes,Electronic check,64.85,3573.3,SYS_A,60.96506367600284,Yes
CUST-10852,Male,0,Yes,Yes,32.0,Yes,Yes,Fiber optic,Yes,Yes,Month-to-month,No,Bank transfer,110.25,3478.72,SYS_A,68.7484475381898,Yes
CUST-10290,Male,0,Yes,No,60.0,No,No phone service,Fiber optic,No,Yes,Month-to-month,Yes,Electronic check,105.26,6361.38,SYS_B,50.948564856036846,No
CUST-10706,Male,1,No,No,67.0,Yes,Yes,No,No internet service,No internet service,Two year,No,Electronic check,22.04,1521.25,SYS_A,23.6131670732897,No
CUST-10240,Female,0,Yes,Yes,39.0,Yes,No,Fiber optic,Yes,No,Two year,Yes,Credit card,87.26,3323.52,SYS_C,28.919893293426057,No
CUST-10861,Male,0,No,Yes,40.0,Yes,Yes,DSL,No,No,Month-to-month,Yes,Credit card,77.99,3092.12,SYS_A,57.88579708830586,No
CUST-10319,Male,0,Yes,No,28.0,Yes,No,Fiber optic,No,No,Month-to-month,Yes,Mailed check,89.94,2606.18,SYS_A,36.15263385788471,No
CUST-10743,Female,0,No,Yes,2.0,Yes,No,Fiber optic,No,No,Month-to-month,No,Mailed check,105.31,188.19,SYS_A,69.90491050231864,Yes
CUST-11125,Female,0,Yes,Yes,9.0,Yes,No,Fiber optic,Yes,Yes,One year,Yes,Credit card,104.87,937.67,SYS_A,69.52267045219834,Yes
CUST-10405,Female,0,No,Yes,14.0,Yes,No,DSL,No,No,Month-to-month,Yes,Mailed check,46.63,562.1,SYS_B,23.850028969001478,Yes
CUST-10135,Male,0,No,Yes,55.0,Yes,Yes,Fiber optic,Yes,Yes,Month-to-month,Yes,Bank transfer,114.98,6356.78,SYS_A,44.870812822531214,No
CUST-11070,Male,0,No,Yes,34.0,Yes,Yes,DSL,Yes,Yes,One year,Yes,Bank transfer,48.65,1584.76,SYS_A,49.758583442659074,No
CUST-11007,Female,1,No,Yes,6.0,Yes,No,Fiber optic,No,No,One year,No,Mailed check,112.72,628.41,SYS_A,45.77944196709136,No
CUST-10808,Male,0,Yes,No,,Yes,Yes,DSL,No,Yes,Two year,Yes,Electronic check,83.22,1704.07,SYS_A,69.30186503679515,No
CUST-10140,Female,0,Yes,No,44.0,Yes,No,DSL,Yes,No,Two year,No,Credit card,72.18,3224.25,SYS_B,39.794982332314014,No
CUST-10925,Male,0,Yes,Yes,70.0,No,No phone service,Fiber optic,Yes,Yes,Month-to-month,No,Mailed check,87.42,6076.86,SYS_B,33.71456402005037,No
CUST-10275,Female,0,Yes,Yes,29.0,No,No phone service,Fiber optic,No,No,One year,Yes,Electronic check,105.35,3139.45,SYS_A,75.10937164499084,No
CUST-10591,Female,0,No,No,49.0,Yes,Yes,DSL,Yes,No,Two year,No,Bank transfer,80.83,3953.6,SYS_A,49.59297151071286,No
CUST-10868,Female,1,Yes,No,16.0,Yes,No,DSL,No,Yes,Month-to-month,No,Electronic check,60.04,970.49,SYS_A,44.45083732154416,No
CUST-10993,Female,0,Yes,No,44.0,Yes,No,Fiber optic,No,No,Month-to-month,Yes,Credit card,77.94,3390.43,SYS_B,55.70452703667243,No
CUST-10209,Male,1,No,No,13.0,Yes,No,Fiber optic,No,No,Two year,Yes,Credit card,96.85,1361.81,SYS_A,48.906335482637616,No
CUST-10506,Female,0,No,No,4.0,Yes,Yes,Fiber optic,No,Yes,Month-to-month,Yes,Credit card,94.5,407.1,SYS_A,51.081312561599326,No
CUST-10941,Female,0,Yes,Yes,25.0,Yes,Yes,Fiber optic,Yes,No,One year,No,Bank transfer,105.25,2710.29,SYS_B,54.489307219123084,No
CUST-10333,Male,0,No,No,33.0,No,No phone service,Fiber optic,No,No,Month-to-month,Yes,Electronic check,79.3,2590.08,SYS_B,39.67011693539256,Yes
CUST-10170,Female,0,No,No,18.0,Yes,No,Fiber optic,No,No,Month-to-month,Yes,Electronic check,96.78,1632.26,SYS_A,64.80197652555557,No
CUST-10398,Female,0,Yes,Yes,4.0,Yes,Yes,DSL,No,Yes,Month-to-month,Yes,Electronic check,82.96,340.76,SYS_A,47.92747780580151,Yes
CUST-10593,Male,0,No,No,72.0,Yes,No,DSL,Yes,Yes,Two year,No,Electronic check,49.23,3533.68,SYS_C,73.82506935841026,No
CUST-10243,Male,0,No,No,22.0,Yes,Yes,No,No internet service,No internet service,Month-to-month,No,Electronic check,18.32,397.3,SYS_B,26.991209666956482,No
CUST-10736,Male,0,Yes,No,55.0,No,No phone service,DSL,No,No,Month-to-month,Yes,Mailed check,54.3,3019.49,SYS_C,58.92192059864911,No
CUST-10163,Female,0,No,Yes,43.0,Yes,No,DSL,Yes,No,Month-to-month,Yes,Electronic check,64.15,2814.02,SYS_A,40.90519122143364,No
CUST-10823,Male,0,Yes,Yes,50.0,Yes,No,Fiber optic,No,Yes,Month-to-month,Yes,Electronic check,112.37,5676.31,SYS_B,75.75268895828296,No
CUST-11019,Male,0,No,Yes,46.0,Yes,Yes,No,No internet service,No internet service,Two year,Yes,Mailed check,23.69,1193.3,SYS_A,74.83149621354679,No
CUST-10156,Female,1,No,No,13.0,Yes,No,Fiber optic,No,No,One year,No,Credit card,100.76,1337.31,SYS_A,73.52903159656886,Yes
CUST-11050,Female,0,Yes,Yes,56.0,Yes,No,Fiber optic,Yes,Yes,Two year,No,Electronic check,91.35,5117.0,SYS_C,54.955682266425235,No
